번호, 제목, 등록일
224,[장학] 2017년도 용인시 인재육성재단 장학생 선발 홍보,2017-03-10
225,2017학년도 전자정보대학 개별취업컨설팅 안내 ,2017-03-14
226,[장학] 제20기 미래에셋 해외 교환 장학생 선발 안내,2017-03-14
227,[장학] 2017-1 세아해암학술재단 장학생 선발모집 홍보,2017-03-15
228,2017 창의적 종합설계 경진대회,2017-03-23
229,신규 게임개발 동아리 소개회,2017-03-28
230,2017-1학기 담임교수제(진로상담교수제-CCP) 시행 안내,2017-03-28
231,2017년 1학기 서울희망장학금 대학분야 장학생 선발 홍보 요...,2017-03-29
232,2017학년도연구활동종사자 온라인 안전교육 실시 안내,2017-03-30
233,2017-1학기 본전공/다전공/트랙 신청 및 포기 실시 안내,2017-04-04
234,2017 국제대학원『국제개발 분야 취업 준비와 경력관리 포럼...,2017-04-04
235,2017-1학기 부전공 및 조기졸업신청서 접수 안내,2017-04-05
236,2017년 1학기 서울희망장학금 대학분야 장학생 선발 재홍보,2017-04-05
237,[서울어코드]K-SW 스퀘어 여름 퍼듀 프로그램신청서 ,2017-04-05
238,[컴퓨터공학과 장학]컴퓨터공학과 이민영장학회 장학생 선...,2017-04-07
239,2017학년 1학기 기관토플 실시 안내(4월~8월),2017-04-07
240,2017학년도 1학기 핵심교양 이수면제 시행안내,2017-04-10
241,Global Collaborative 2017 Summer Program,2017-04-12
242,2017년 K-SW 해외인턴 신청,2017-04-18
243,2017학년도 2학기 국제대학원 신입생 모집,2017-04-24
244,2017학년도 국제캠퍼스 예비군기본훈련 안내,2017-04-26
245,2016학년도 후기(2017.08월) 졸업예정 교직이수자 대상 무시험...,2017-04-28
246,2017-1학기 우정장학 및 장학팀장학사정관제장학 신청 홍보,2017-04-28
247,제 4회 경희사랑 한마음 걷기 대회 개최안내,2017-05-02
248,2017 봄 프로그래밍 경시대회,2017-05-02
249,2017학년도 하계 전자정보대학 해외전공연수프로그램 신청 ...,2017-05-04
250,2017 하계 캄보디아 단기 해외 봉사단 단원 모집,2017-05-04
251,[동원그룹]2017 동원그룹 채용형 인턴십 프로그램 안내,2017-05-04
252,TOP CAREER CODE CHALLENGE SUMMER 2017,2017-05-10
253,2017 경희대학교 주니어 코딩 대회 - 5월 27일(토),2017-05-10
254,2017년 삼성드림클래스 여름캠프 대학생강사 선발모집,2017-05-12
255,2017학년도 하계방중 인턴십프로그램 참여희망자 신청 안내,2017-05-12
256,2017 KIST 유럽 해외인턴 선발 공지,2017-05-15
257,진로 및 대학생활 종합지원을 위한 Career Day 실시,2017-05-15
258,[서울어코드]2017학년도 하계방학 현장연수 활동(인턴십),2017-05-15
259,2017년도 졸업능력제도 신청(대체/면제) 안내,2017-05-16
260,2017학년도 졸업앨범 사진 촬영 안내 ,2017-05-17
261,[서울어코드]인턴인계 코딩 대회,2017-05-17
262,K-SW포럼 하계 인턴십 행사 ,2017-05-17
263,2017 글로벌 IT 교육 봉사단 모집,2017-05-17
264,2017년 삼성드림클래스 주중·주말교실 대학생 강사 추가선�...,2017-05-24
265,2017-2학기 국가장학금 1차 신청 안내,2017-05-25
266,2017학년도 1학기 성적 열람 및 공시(정정)기간 공고,2017-05-29
267,졸업앨범 촬영 안내,2017-05-31
268,국제교육원 하계 LEAP 프로그램 ,2017-06-01
269,2017학년도 1학기 온라인 안전교육 이수 재공지,2017-06-01
270,[중요]2017년 2학기 과목명 변경 안내드립니다,2017-06-08
271,[IoT기술경진대회] 총 상금 6700만원! IoT 이노베이션 챌린지(...,2017-06-09
272,[공지] 2017학년도 2학기 교내장학금 신청 안내 홍보 요청,2017-06-09
273,[공지/중요]2017하계계절학기 객체지향프로그래밍 수강신청 ...,2017-06-14
274,[공지]교내 승강지 운행 중단 안내,2017-06-20
275,[전자정보대학]2017 하계방학 근로학생 모집공고,2017-06-20
276,2017학 2학기 삼성드림클래스 대학생강사 추가선발,2017-06-23
277,2017-2학기 전과 시행 안내,2017-06-28
278,경희 Fellow(교육) 신청 안내,2017-06-28
279,2017학년도 2학기 복학신청 안내,2017-06-30
280,[2차]2017학년도 1학기 온라인 안전교육 이수 재공지 ,2017-06-30
281,2017학년도 2학기 예비군 편성신고 안내,2017-07-03
282,「제 17회 용인사이버과학축제 」 개최 안내 및 참여 ,2017-07-03
283,2017-2학기 휴학 신청 안내,2017-07-10
284,[장학]2017-2학기 우정장학금 신청기간 연장 안내,2017-07-14
285,2017-2학기 재입학 시행 안내,2017-07-17
286,2016학년도 후기 졸업사정 안내,2017-07-20
287,사회교육원 국비지원 취/창업 특화프로그램 교육생 모집,2017-07-25
288,2017학년도 학자금 특별추천 ,2017-07-25
289,2017-2학기 '전공탐색세미나' 수강 관련 안내,2017-07-25
290,2017-2학기 창업대체학점 인정신청 안내,2017-07-28
291,2017년 TOPCIT 플립러닝 교육 프로그램 홍보,2017-07-31
292,2017-2학기 등록기간 안내,2017-08-01
293,2017-1학기 담임교수제(진로상담교수제-CCP)안내,2017-08-04
294,공학교육인증 전문프로그램(ABEEK) 신청/포기 안내,2017-08-04
295,2016학년도 전기 학위수여식(2017년 8월 졸업식) 안내,2017-08-05
296,2017-2학기 설계프로젝트D 추가분반 공지,2017-08-11
297,2017-2학기 시스템분석및설계 수업시간 및 교강사 변경 ,2017-08-11
298,[필독]2017년 8월 16일 졸업식 졸업가운및모자 대여장소 변경,2017-08-16
299,[전자정보대학]2017-2학기 행정실 근로학생 모집 ,2017-08-16
300,[장학]2017년도 하반기 동산장학회 장학생 선발 안내 ,2017-08-17
301,[수업/공지]모바일프로그래밍&빅데이터프로그래밍 강의계획...,2017-08-21
302,[수업/공지]연구연수활동2 관련 안내드립니다,2017-08-21
303,[수업/필독]자바프로그래밍&형식언어및컴파일러 수업시간 ...,2017-08-21
304,[수업/필독]시스템분석및설계 수업시간 교강사 재공지,2017-08-21
305,[수업/필독]JAVA프로그래밍 수업시간 변경 ,2017-08-21
306,[수업/공지]창의적종합설계(컴퓨터공학) 졸업연구 변동사항,2017-08-21
307,[수업/공지]설계프로젝트D 추가 분반 개설 관련 재공지,2017-08-21
308,공학교육인증 전문프로그램(ABEEK) 신청 및 포기 방법 기간 ...,2017-08-22
309,[수업/공지]설계프로젝트D추가분반 수업시간 및 교강사 안내,2017-08-23
310,[수업/재공지]형식언어및컴파일러 수업시간 변경사항 안내...,2017-08-23
311,[장학]2017-2학기 국가장학금 2차 신청 안내,2017-08-24
312,2017-2학기 차량 운행 안내,2017-08-24
313,[수업/공지]소프트웨어공학 수업시간 변경,2017-08-28
314,[수업]형식언어및컴파일러 강의계획서 안내,2017-08-30
315,2017학년도 전자정보대학 개별취업컨설팅 안내,2017-09-01
316,[정보처]'KHU알리미'앱 깔고 경품 받으세요,2017-09-01
317,<제11회 경희대학교 SW중심대학 가을프로그래밍 경시대회&g...,2017-09-04
318,2017학년도 2학기 연구활동종사자 온라인 안전교육 실시 안내...,2017-09-04
319,2017하반기 삼성소프트웨어트랙 지원 방법 공고,2017-09-05
320,제8회 TOPCIT정기평가 단체접수 안내,2017-09-07
321,[공지] 출석대체인정과 관련된 출석인정신청서 양식,2017-09-07
322,[필독]창의적종합설계졸업연구 교과목 공지,2017-09-11
323,[필독/중요]전자정보대학 기초 프로그래밍 교과목 공지,2017-09-12
324,경희SW나눔봉사단 모집,2017-09-13
325,[장학]2017년 2학기 2차 푸른등대 기부장학사업(블리자드) 신...,2017-09-14
326,2017 컨트리뷰톤 행사 안내,2017-09-15
327,2017 조선닷컴 AI산업 비즈니스 컨퍼런스 ,2017-09-18
328,2017학년도 2학기 다전공/트랙 이수 신청 및 포기 안내(일정변...,2017-09-26
329,2017-2 캡스톤디자인 운영 가이드북 안내(과제계획서 제출기...,2017-09-26
330,2017 사물인터넷 정보보안 해커톤 대회 참가자 모집,2017-09-28
331,[대학원]2018학년도 1학기 국제대학원 신입생 모집 ,2017-10-11
332,2017-2학기 부전공 및 조기졸업신청서 접수 안내,2017-10-11
333,2017학년도 2학기 기관토플 실시 안내,2017-10-12
